Iteration,TotalNodes,MemoryBytes,Phase
368,2,512,Morning_Clean
369,2,512,Morning_Clean
370,2,512,Morning_Clean
371,2,512,Morning_Clean
372,2,512,Morning_Clean
373,2,512,Morning_Clean
374,2,512,Morning_Clean
375,2,512,Morning_Clean
376,2,512,Morning_Clean
377,2,512,Morning_Clean
378,2,512,Morning_Clean
379,2,512,Morning_Clean
380,2,512,Morning_Clean
381,2,512,Morning_Clean
382,2,512,Morning_Clean
383,2,512,Morning_Clean
384,2,512,Morning_Clean
385,2,512,Morning_Clean
386,2,512,Morning_Clean
387,2,512,Morning_Clean
388,2,512,Morning_Clean
389,2,512,Morning_Clean
390,2,512,Morning_Clean
391,2,512,Morning_Clean
392,2,512,Morning_Clean
393,2,512,Morning_Clean
394,2,512,Morning_Clean
395,2,512,Morning_Clean
396,2,512,Morning_Clean
397,2,512,Morning_Clean
398,2,512,Morning_Clean
399,2,512,Morning_Clean
400,2,512,Morning_Clean
401,2,512,Morning_Clean
402,2,512,Morning_Clean
403,2,512,Morning_Clean
404,2,512,Morning_Clean
405,2,512,Morning_Clean
406,2,512,Morning_Clean
407,2,512,Morning_Clean
408,2,512,Morning_Clean
409,2,512,Morning_Clean
410,2,512,Morning_Clean
411,2,512,Morning_Clean
412,2,512,Morning_Clean
413,2,512,Morning_Clean
414,2,512,Morning_Clean
415,2,512,Morning_Clean
416,2,512,Morning_Clean
417,2,512,Morning_Clean
418,2,512,Morning_Clean
419,2,512,Morning_Clean
420,2,512,Morning_Clean
421,2,512,Morning_Clean
422,2,512,Morning_Clean
423,2,512,Morning_Clean
424,2,512,Morning_Clean
425,2,512,Morning_Clean
426,2,512,Morning_Clean
427,2,512,Morning_Clean
428,2,512,Morning_Clean
429,2,512,Morning_Clean
430,2,512,Morning_Clean
431,2,512,Morning_Clean
432,2,512,Morning_Clean
433,2,512,Morning_Clean
434,2,512,Morning_Clean
435,2,512,Morning_Clean
436,2,512,Morning_Clean
437,2,512,Morning_Clean
438,2,512,Morning_Clean
439,2,512,Morning_Clean
440,2,512,Morning_Clean
441,2,512,Morning_Clean
442,2,512,Morning_Clean
443,2,512,Morning_Clean
444,2,512,Morning_Clean
445,2,512,Morning_Clean
446,2,512,Morning_Clean
447,2,512,Morning_Clean
448,2,512,Morning_Clean
449,2,512,Morning_Clean
450,2,512,Morning_Clean
451,2,512,Morning_Clean
452,2,512,Morning_Clean
453,2,512,Morning_Clean
454,2,512,Morning_Clean
455,2,512,Morning_Clean
456,2,512,Morning_Clean
457,2,512,Morning_Clean
458,2,512,Morning_Clean
459,2,512,Morning_Clean
460,2,512,Morning_Clean
461,2,512,Morning_Clean
462,2,512,Morning_Clean
463,2,512,Morning_Clean
464,2,512,Morning_Clean
465,2,512,Morning_Clean
466,2,512,Morning_Clean
467,2,512,Morning_Clean
468,2,512,Morning_Clean
469,2,512,Morning_Clean
470,2,512,Morning_Clean
471,2,512,Morning_Clean
472,2,512,Morning_Clean
473,2,512,Morning_Clean
474,2,512,Morning_Clean
475,2,512,Morning_Clean
476,2,512,Morning_Clean
477,2,512,Morning_Clean
478,2,512,Morning_Clean
479,2,512,Morning_Clean
480,2,512,Morning_Clean
481,2,512,Morning_Clean
482,2,512,Morning_Clean
483,2,512,Morning_Clean
484,2,512,Morning_Clean
485,2,512,Morning_Clean
486,2,512,Morning_Clean
487,2,512,Morning_Clean
488,2,512,Morning_Clean
489,2,512,Morning_Clean
490,2,512,Morning_Clean
491,2,512,Morning_Clean
492,2,512,Morning_Clean
493,2,512,Morning_Clean
494,2,512,Morning_Clean
495,2,512,Morning_Clean
496,2,512,Morning_Clean
497,2,512,Morning_Clean
